driver_name,code,driver_nat,circuitRef,year,round,starting_pos,finishing_pos,laps,quali_mean,driver_age,driver_dnf,car_dnf
McLaren,BUT,British,silverstone,2014.0,9.0,3.0,4.0,52.0,99.73466666666667,34.0,0,0
McLaren,BUT,British,silverstone,2015.0,9.0,18.0,19.0,0.0,95.207,35.0,1,0
McLaren,BUT,British,silverstone,2016.0,10.0,17.0,12.0,51.0,92.788,36.0,0,0
McLaren,BUT,British,hockenheimring,2014.0,10.0,11.0,8.0,67.0,78.309,34.0,0,0
McLaren,BUT,British,hockenheimring,2016.0,12.0,12.0,8.0,66.0,76.04050000000001,36.0,0,0
McLaren,BUT,British,hungaroring,2014.0,11.0,7.0,10.0,70.0,85.13599999999998,34.0,0,0
McLaren,BUT,British,hungaroring,2015.0,10.0,16.0,9.0,69.0,84.739,35.0,0,0
McLaren,BUT,British,hungaroring,2016.0,11.0,8.0,22.0,60.0,88.012,36.0,0,1
McLaren,BUT,British,spa,2014.0,12.0,10.0,6.0,44.0,129.859,34.0,0,0
McLaren,BUT,British,spa,2015.0,11.0,19.0,14.0,42.0,110.978,35.0,0,0
McLaren,BUT,British,spa,2016.0,13.0,9.0,21.0,1.0,108.28833333333334,36.0,1,0
McLaren,BUT,British,monza,2014.0,13.0,6.0,8.0,53.0,85.779,34.0,0,0
McLaren,BUT,British,monza,2015.0,12.0,15.0,14.0,52.0,86.058,35.0,0,0
McLaren,BUT,British,monza,2016.0,14.0,14.0,12.0,52.0,83.5325,36.0,0,0
McLaren,BUT,British,marina_bay,2014.0,14.0,11.0,18.0,52.0,107.05199999999999,34.0,0,1
McLaren,BUT,British,marina_bay,2015.0,13.0,15.0,16.0,52.0,106.45500000000001,35.0,0,1
McLaren,BUT,British,marina_bay,2016.0,15.0,12.0,19.0,43.0,105.203,36.0,0,1
McLaren,BUT,British,shanghai,2014.0,4.0,12.0,11.0,53.0,117.37299999999999,34.0,0,0
McLaren,BUT,British,shanghai,2015.0,3.0,17.0,14.0,55.0,99.276,35.0,0,0
McLaren,BUT,British,shanghai,2016.0,3.0,12.0,13.0,56.0,98.343,36.0,0,0
McLaren,BUT,British,interlagos,2014.0,18.0,5.0,4.0,71.0,71.05133333333333,34.0,0,0
McLaren,BUT,British,interlagos,2015.0,18.0,16.0,14.0,70.0,73.425,35.0,0,0
McLaren,BUT,British,interlagos,2016.0,20.0,17.0,16.0,71.0,73.276,36.0,0,0
McLaren,BUT,British,suzuka,2014.0,15.0,8.0,5.0,44.0,94.705,34.0,0,0
McLaren,BUT,British,suzuka,2015.0,14.0,14.0,16.0,52.0,95.664,35.0,0,0
McLaren,BUT,British,suzuka,2016.0,17.0,22.0,18.0,52.0,92.851,36.0,0,0
McLaren,BUT,British,yas_marina,2014.0,19.0,6.0,5.0,55.0,101.992,34.0,0,0
McLaren,BUT,British,yas_marina,2015.0,19.0,12.0,12.0,54.0,102.619,35.0,0,0
McLaren,BUT,British,yas_marina,2016.0,21.0,12.0,20.0,12.0,101.215,36.0,0,1
McLaren,BUT,British,rodriguez,2015.0,17.0,20.0,14.0,71.0,141.611,35.0,0,0
McLaren,BUT,British,rodriguez,2016.0,19.0,13.0,12.0,70.0,81.003,36.0,0,0
McLaren,BUT,British,americas,2014.0,17.0,12.0,12.0,55.0,98.08433333333335,34.0,0,0
McLaren,BUT,British,americas,2015.0,16.0,11.0,6.0,56.0,120.727,35.0,0,0
McLaren,BUT,British,americas,2016.0,18.0,19.0,9.0,55.0,98.327,36.0,0,0
McLaren,BUT,British,red_bull_ring,2014.0,8.0,11.0,11.0,71.0,70.01599999999999,34.0,0,0
McLaren,BUT,British,red_bull_ring,2015.0,8.0,20.0,17.0,8.0,72.632,35.0,0,1
McLaren,BUT,British,red_bull_ring,2016.0,9.0,3.0,6.0,71.0,68.37500000000001,36.0,0,0
McLaren,BUT,British,sochi,2014.0,16.0,4.0,4.0,53.0,99.354,34.0,0,0
McLaren,BUT,British,sochi,2015.0,15.0,13.0,9.0,53.0,99.751,35.0,0,0
McLaren,BUT,British,sochi,2016.0,4.0,12.0,10.0,52.0,98.0165,36.0,0,0
McLaren,BUT,British,baku,2016.0,8.0,19.0,11.0,51.0,105.804,36.0,0,0
McLaren,RIC,Australian,albert_park,2022.0,3.0,7.0,6.0,58.0,79.27566666666667,33.0,0,0
McLaren,RIC,Australian,bahrain,2021.0,1.0,6.0,7.0,56.0,90.31466666666667,32.0,0,0
McLaren,RIC,Australian,bahrain,2022.0,1.0,18.0,14.0,57.0,92.945,33.0,0,0
McLaren,RIC,Australian,catalunya,2021.0,4.0,7.0,6.0,66.0,77.86833333333334,32.0,0,0
McLaren,RIC,Australian,catalunya,2022.0,6.0,9.0,12.0,65.0,80.37766666666667,33.0,0,0
McLaren,RIC,Australian,istanbul,2021.0,16.0,20.0,13.0,57.0,85.881,32.0,0,0
McLaren,RIC,Australian,monaco,2021.0,5.0,12.0,12.0,77.0,71.6725,32.0,0,0
McLaren,RIC,Australian,monaco,2022.0,7.0,14.0,13.0,64.0,73.151,33.0,0,0
McLaren,RIC,Australian,villeneuve,2022.0,9.0,9.0,11.0,70.0,87.92,33.0,0,0
McLaren,RIC,Australian,silverstone,2021.0,10.0,6.0,5.0,52.0,87.11566666666666,32.0,0,0
McLaren,RIC,Australian,silverstone,2022.0,10.0,14.0,13.0,52.0,103.144,33.0,0,0
McLaren,RIC,Australian,hungaroring,2021.0,11.0,11.0,11.0,69.0,77.2675,32.0,0,0
McLaren,RIC,Australian,hungaroring,2022.0,13.0,9.0,15.0,69.0,78.45066666666668,33.0,0,0
McLaren,RIC,Australian,spa,2021.0,12.0,4.0,4.0,1.0,119.85799999999999,32.0,0,0
McLaren,RIC,Australian,spa,2022.0,14.0,7.0,15.0,44.0,105.98949999999999,33.0,0,0
McLaren,RIC,Australian,monza,2021.0,14.0,2.0,1.0,53.0,80.574,32.0,0,0
McLaren,RIC,Australian,monza,2022.0,16.0,4.0,17.0,45.0,81.973,33.0,0,1
McLaren,RIC,Australian,marina_bay,2022.0,17.0,16.0,5.0,59.0,116.226,33.0,0,0
McLaren,RIC,Australian,interlagos,2021.0,19.0,11.0,19.0,49.0,69.16866666666665,32.0,0,1
McLaren,RIC,Australian,interlagos,2022.0,21.0,11.0,20.0,0.0,73.5355,33.0,1,0
McLaren,RIC,Australian,imola,2021.0,2.0,6.0,6.0,63.0,75.176,32.0,0,0
McLaren,RIC,Australian,imola,2022.0,4.0,6.0,18.0,62.0,83.25100000000002,33.0,0,0
McLaren,RIC,Australian,suzuka,2022.0,18.0,11.0,11.0,28.0,90.7695,33.0,0,0
McLaren,RIC,Australian,yas_marina,2021.0,22.0,10.0,12.0,57.0,83.562,32.0,0,0
McLaren,RIC,Australian,yas_marina,2022.0,22.0,13.0,9.0,58.0,85.293,33.0,0,0
McLaren,RIC,Australian,rodriguez,2021.0,18.0,7.0,12.0,70.0,77.19133333333333,32.0,0,0
McLaren,RIC,Australian,rodriguez,2022.0,20.0,11.0,7.0,70.0,79.80199999999999,33.0,0,0
McLaren,RIC,Australian,ricard,2021.0,7.0,10.0,6.0,53.0,91.726,32.0,0,0
McLaren,RIC,Australian,ricard,2022.0,12.0,9.0,9.0,53.0,93.163,33.0,0,0
McLaren,RIC,Australian,zandvoort,2021.0,13.0,10.0,11.0,71.0,70.09533333333333,32.0,0,0
McLaren,RIC,Australian,zandvoort,2022.0,15.0,17.0,17.0,72.0,72.081,33.0,0,0
McLaren,RIC,Australian,americas,2021.0,17.0,6.0,5.0,56.0,94.286,32.0,0,0
McLaren,RIC,Australian,americas,2022.0,19.0,15.0,16.0,56.0,97.046,33.0,0,0
McLaren,RIC,Australian,red_bull_ring,2021.0,8.0,13.0,13.0,70.0,64.975,32.0,0,0
McLaren,RIC,Australian,red_bull_ring,2021.0,9.0,13.0,7.0,71.0,64.848,32.0,0,0
McLaren,RIC,Australian,red_bull_ring,2022.0,11.0,11.0,9.0,70.0,66.613,33.0,0,0
McLaren,RIC,Australian,sochi,2021.0,15.0,5.0,4.0,53.0,106.28733333333334,32.0,0,0
McLaren,RIC,Australian,baku,2021.0,6.0,13.0,9.0,51.0,102.43100000000001,32.0,0,0
McLaren,RIC,Australian,baku,2022.0,8.0,12.0,8.0,51.0,104.0055,33.0,0,0
McLaren,RIC,Australian,portimao,2021.0,3.0,16.0,9.0,66.0,79.839,32.0,0,0
McLaren,RIC,Australian,jeddah,2021.0,21.0,11.0,5.0,50.0,88.44200000000001,32.0,0,0
McLaren,RIC,Australian,jeddah,2022.0,2.0,14.0,17.0,35.0,89.89099999999999,33.0,0,1
McLaren,RIC,Australian,losail,2021.0,20.0,14.0,12.0,56.0,82.6425,32.0,0,0
McLaren,RIC,Australian,miami,2022.0,5.0,14.0,13.0,57.0,90.4465,33.0,0,0
McLaren,MAG,Danish,albert_park,2014.0,1.0,4.0,2.0,57.0,99.98033333333335,22.0,0,0
McLaren,MAG,Danish,albert_park,2015.0,1.0,17.0,17.0,0.0,92.037,23.0,0,1
McLaren,MAG,Danish,sepang,2014.0,2.0,8.0,9.0,55.0,121.55433333333333,22.0,0,0
McLaren,MAG,Danish,bahrain,2014.0,3.0,8.0,18.0,40.0,94.968,22.0,0,1
McLaren,MAG,Danish,catalunya,2014.0,5.0,14.0,12.0,65.0,88.389,22.0,0,0
McLaren,MAG,Danish,monaco,2014.0,6.0,8.0,10.0,77.0,77.714,22.0,0,0
McLaren,MAG,Danish,villeneuve,2014.0,7.0,12.0,9.0,70.0,76.378,22.0,0,0
McLaren,MAG,Danish,silverstone,2014.0,9.0,5.0,7.0,52.0,99.43133333333333,22.0,0,0
McLaren,MAG,Danish,hockenheimring,2014.0,10.0,4.0,9.0,66.0,77.754,22.0,0,0
McLaren,MAG,Danish,hungaroring,2014.0,11.0,21.0,12.0,70.0,85.5815,22.0,0,0
McLaren,MAG,Danish,spa,2014.0,12.0,7.0,12.0,44.0,129.55366666666666,22.0,0,0
McLaren,MAG,Danish,monza,2014.0,13.0,5.0,10.0,53.0,85.87466666666667,22.0,0,0
McLaren,MAG,Danish,marina_bay,2014.0,14.0,9.0,10.0,60.0,106.97533333333332,22.0,0,0
McLaren,MAG,Danish,shanghai,2014.0,4.0,15.0,13.0,53.0,117.52199999999999,22.0,0,0
McLaren,MAG,Danish,interlagos,2014.0,18.0,7.0,9.0,71.0,71.10466666666666,22.0,0,0
McLaren,MAG,Danish,suzuka,2014.0,15.0,7.0,14.0,43.0,94.467,22.0,0,0
